"SYMBOL 
"
KEI
BANDHANBNK
SHRIRAMFIN
HDFCBANK
PHOENIXLTD
AUBANK
COALINDIA
DIXON
LUPIN
JSWENERGY
POLYCAB
INDIGO
VOLTAS
TRENT
SOLARINDS
HINDALCO
ANGELONE
GMRAIRPORT
PIIND
LICI
NYKAA
AXISBANK
ABFRL
KALYANKJIL
MRF
FEDERALBNK
IEX
ACC
GODREJPROP
ICICIGI
PIDILITIND
APLAPOLLO
ABCAPITAL
ADANIENT
ADANIPORTS
GRASIM
ALKEM
RELIANCE
PRESTIGE
GAIL
DRREDDY
POONAWALLA
SAIL
NATIONALUM
COLPAL
AMBUJACEM
BOSCHLTD
TATASTEEL
IDFCFIRSTB
RAMCOCEM
ZYDUSLIFE
INDHOTEL
LT
TATAPOWER
BANKINDIA
JINDALSTEL
ITC
HDFCLIFE
DLF
ASIANPAINT
CROMPTON
HEROMOTOCO
ADANIENSOL
DEEPAKNTR
CGPOWER
SIEMENS
NHPC
NTPC
PAYTM
DALBHARAT
HDFCAMC
APOLLOHOSP
ICICIPRULI
POWERGRID
ICICIBANK
PATANJALI
DABUR
BAJFINANCE
HAVELLS
JKCEMENT
EXIDEIND
NCC
ESCORTS
JSL
SBIN
UNIONBANK
SRF
BEL
TORNTPHARM
UPL
IOC
JSWSTEEL
HINDUNILVR
INDIANB
GLENMARK
POLICYBZR
BHARATFORG
AUROPHARMA
ONGC
VEDL
MFSL
SONACOMS
OBEROIRLTY
CIPLA
KOTAKBANK
COFORGE
SBICARD
TATACHEM
TATAELXSI
EICHERMOT
CUMMINSIND
DELHIVERY
CANBK
SBILIFE
BPCL
DIVISLAB
CESC
TATACOMM
DMART
RBLBANK
BANKBARODA
TORNTPOWER
BAJAJFINSV
BIOCON
LTTS
IRCTC
TIINDIA
CHOLAFIN
BERGEPAINT
IDEA
CYIENT
PAGEIND
IGL
BALKRISIND
ASTRAL
LTF
MOTHERSON
LICHSGFIN
LAURUSLABS
HCLTECH
CAMS
YESBANK
ZOMATO
ULTRACEMCO
PEL
SYNGENE
PFC
MARUTI
SUNPHARMA
VBL
SHREECEM
MUTHOOTFIN
NESTLEIND
NBCC
TCS
ATGL
MARICO
M&MFIN
UNITDSPR
PERSISTENT
APOLLOTYRE
BAJAJ-AUTO
CDSL
HINDPETRO
NMDC
MANAPPURAM
ABB
BRITANNIA
OFSS
GODREJCP
INFY
IRB
TATACONSUM
HUDCO
TITAN
TATAMOTORS
INDUSTOWER
KPITTECH
RECLTD
LTIM
TVSMOTOR
BHEL
HAL
SUPREMEIND
HFCL
MAXHEALTH
AARTIIND
SJVN
M&M
BHARTIARTL
PNB
IIFL
NAUKRI
HINDCOPPER
PETRONET
ASHOKLEY
MPHASIS
WIPRO
BSOFT
CONCOR
TITAGARH
MGL
LODHA
ADANIGREEN
IREDA
TATATECH
JIOFIN
OIL
TECHM
IRFC
CHAMBLFERT
JUBLFOOD
INDUSINDBK
MCX
GRANULES
BSE
